"State","Body","District","Year","Term","Party","Prvote","Propvote","PrMargin","ThreePVote"
"Alaska","House",1,2016,NA,"Democrat",0,0,"Unopposed",0
"Alaska","House",2,2016,NA,"Republican",3268,1153,"47.84%",0
"Alaska","House",3,2016,NA,"Republican",4291,537,"52.89%",2270
"Alaska","House",4,2016,NA,"Democrat",0,0,"Unopposed",0
"Alaska","House",5,2016,NA,"Democrat",3812,3384,"5.95%",0
"Alaska","House",6,2016,NA,"Republican",5126,2327,"37.56%",0
"Alaska","House",7,2016,NA,"Republican",5293,1573,"54.18%",0
"Alaska","House",8,2016,NA,"Republican",5753,1268,"63.88%",0
"Alaska","House",9,2016,NA,"Republican",4758,0,"62.82%",2816
"Alaska","House",10,2016,NA,"Republican",5901,2021,"48.98%",0
"Alaska","House",11,2016,NA,"Republican",5752,0,"68.21%",2681
"Alaska","House",12,2016,NA,"Republican",5597,2061,"41.08%",949
"Alaska","House",13,2016,NA,"Democrat",0,0,"Unopposed",0
"Alaska","House",14,2016,NA,"Republican",5733,0,"59.63%",3882
"Alaska","House",15,2016,NA,"Republican",2834,1344,"35.66%",0
"Alaska","House",16,2016,NA,"Democrat",3367,2740,"9.62%",410
"Alaska","House",17,2016,NA,"Democrat",0,0,"Unopposed",0
"Alaska","House",18,2016,NA,"Democrat",3490,2760,"11.68%",0
"Alaska","House",19,2016,NA,"Democrat",0,0,"Unopposed",0
"Alaska","House",20,2016,NA,"Democrat",0,0,"Unopposed",0
"Alaska","House",21,2016,NA,"Democrat",4145,3767,"4.78%",0
"Alaska","House",22,2016,NA,"Other",3561,-186,"48.88%",4291
"Alaska","House",23,2016,NA,"Democrat",3443,2672,"12.61%",0
"Alaska","House",24,2016,NA,"Republican",5019,3518,"17.58%",0
"Alaska","House",25,2016,NA,"Republican",3685,3592,"1.28%",0
"Alaska","House",26,2016,NA,"Republican",5141,2873,"28.3%",0
"Alaska","House",27,2016,NA,"Republican",4086,3929,"1.96%",0
"Alaska","House",28,2016,NA,"Republican",5903,4606,"12.34%",0
"Alaska","House",29,2016,NA,"Democrat",0,0,"Unopposed",0
"Alaska","House",30,2016,NA,"Republican",5346,1868,"42.62%",946
"Alaska","House",31,2016,NA,"Democrat",0,0,"Unopposed",0
"Alaska","House",32,2016,NA,"Republican",2981,1128,"26.91%",2777
"Alaska","House",33,2016,NA,"Democrat",0,0,"Unopposed",0
"Alaska","House",34,2016,NA,"Democrat",4527,4332,"2.2%",0
"Alaska","House",35,2016,NA,"Democrat",5068,3486,"18.49%",0
"Alaska","House",36,2016,NA,"Other",4109,-790,"62.62%",4505
"Alaska","House",37,2016,NA,"Democrat",2724,1868,"18.64%",0
"Alaska","House",38,2016,NA,"Democrat",0,0,"Unopposed",0
"Alaska","House",39,2016,NA,"Democrat",0,0,"Unopposed",0
"Alaska","House",40,2016,NA,"Democrat",0,0,"Unopposed",0
