"State","Body","District","Year","Term","Party","Prvote","Propvote","PrMargin","ThreePVote"
"Arkansas","House",1,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",2,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",3,2016,NA,"Republican",5311,3872,"15.41%",157
"Arkansas","House",4,2016,NA,"Republican",6805,2485,"46.5%",0
"Arkansas","House",5,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",6,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",7,2016,NA,"Republican",5606,3827,"17.39%",796
"Arkansas","House",8,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",9,2016,NA,"Democrat",6519,0,"Unopposed",0
"Arkansas","House",10,2016,NA,"Republican",7043,4024,"27.28%",0
"Arkansas","House",11,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",12,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",13,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",14,2016,NA,"Republican",5867,5391,"4.23%",0
"Arkansas","House",15,2016,NA,"Republican",9816,0,"83.06%",2002
"Arkansas","House",16,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",17,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",18,2016,NA,"Republican",6499,5088,"12.18%",0
"Arkansas","House",19,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",20,2016,NA,"Republican",8936,0,"84.11%",1688
"Arkansas","House",21,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",22,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",23,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",24,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",25,2016,NA,"Republican",5973,4208,"17.34%",0
"Arkansas","House",26,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",27,2016,NA,"Republican",8711,3748,"39.83%",0
"Arkansas","House",28,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",29,2016,NA,"Democrat",6844,0,"86.39%",1078
"Arkansas","House",30,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",31,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",32,2016,NA,"Republican",8435,6559,"12.51%",0
"Arkansas","House",33,2016,NA,"Democrat",9472,0,"77.93%",2683
"Arkansas","House",34,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",35,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",36,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",37,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",38,2016,NA,"Republican",7019,6466,"4.1%",0
"Arkansas","House",39,2016,NA,"Republican",7318,6223,"8.09%",0
"Arkansas","House",40,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",41,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",42,2016,NA,"Democrat",5100,3622,"16.95%",0
"Arkansas","House",43,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",44,2016,NA,"Republican",9243,0,"81.7%",2070
"Arkansas","House",45,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",46,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",47,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",48,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",49,2016,NA,"Republican",5539,4411,"11.34%",0
"Arkansas","House",50,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",51,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",52,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",53,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",54,2016,NA,"Republican",6490,2259,"48.36%",0
"Arkansas","House",55,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",56,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",57,2016,NA,"Republican",6496,3351,"31.94%",0
"Arkansas","House",58,2016,NA,"Republican",6448,5153,"11.16%",0
"Arkansas","House",59,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",60,2016,NA,"Republican",5112,4948,"1.63%",0
"Arkansas","House",61,2016,NA,"Democrat",5559,4996,"5.11%",467
"Arkansas","House",62,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",63,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",64,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",65,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",66,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",67,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",68,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",69,2016,NA,"Republican",6088,4344,"16.72%",0
"Arkansas","House",70,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",71,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",72,2016,NA,"Democrat",6315,4239,"19.67%",0
"Arkansas","House",73,2016,NA,"Republican",6536,2094,"51.47%",0
"Arkansas","House",74,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",75,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",76,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",77,2016,NA,"Republican",7133,0,"70.04%",3051
"Arkansas","House",78,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",79,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",80,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",81,2016,NA,"Republican",8259,3187,"44.31%",0
"Arkansas","House",82,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",83,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",84,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",85,2016,NA,"Democrat",7453,6624,"5.89%",0
"Arkansas","House",86,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",87,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",88,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",89,2016,NA,"Republican",2823,2210,"12.18%",0
"Arkansas","House",90,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",91,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",92,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",93,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",94,2016,NA,"Republican",4926,4136,"8.72%",0
"Arkansas","House",95,2016,NA,"Republican",10012,0,"75.85%",3188
"Arkansas","House",96,2016,NA,"Republican",7299,0,"71.43%",2919
"Arkansas","House",97,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",98,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",99,2016,NA,"Democrat",0,0,"Unopposed",0
"Arkansas","House",100,2016,NA,"Democrat",0,0,"Unopposed",0
