"State","Body","District","Year","Term","Party","Prvote","Propvote","PrMargin","ThreePVote"
"Indiana","House",1,2016,NA,"Democrat",15561,0,"87.41%",2242
"Indiana","House",2,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",3,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",4,2016,NA,"Republican",17272,14311,"9.38%",0
"Indiana","House",5,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",6,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",7,2016,NA,"Democrat",12165,11634,"2.1%",1471
"Indiana","House",8,2016,NA,"Democrat",14747,12373,"8.75%",0
"Indiana","House",9,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",10,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",11,2016,NA,"Republican",18163,11852,"21.03%",0
"Indiana","House",12,2016,NA,"Democrat",15979,13246,"9.35%",0
"Indiana","House",13,2016,NA,"Republican",18566,8167,"38.9%",0
"Indiana","House",14,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",15,2016,NA,"Republican",16152,13581,"8.65%",0
"Indiana","House",16,2016,NA,"Republican",17652,7972,"37.78%",0
"Indiana","House",17,2016,NA,"Republican",16043,7826,"34.43%",0
"Indiana","House",18,2016,NA,"Republican",20055,6287,"52.27%",0
"Indiana","House",19,2016,NA,"Republican",15236,14895,"1.09%",1288
"Indiana","House",20,2016,NA,"Republican",15398,10432,"18.42%",1131
"Indiana","House",21,2016,NA,"Republican",13275,7140,"28.58%",1049
"Indiana","House",22,2016,NA,"Republican",19254,5624,"54.79%",0
"Indiana","House",23,2016,NA,"Republican",15829,6642,"40.88%",0
"Indiana","House",24,2016,NA,"Republican",29297,0,"81.96%",6450
"Indiana","House",25,2016,NA,"Republican",19273,6948,"44.09%",1731
"Indiana","House",26,2016,NA,"Republican",11067,9980,"5.16%",0
"Indiana","House",27,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",28,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",29,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",30,2016,NA,"Republican",15997,10551,"20.51%",0
"Indiana","House",31,2016,NA,"Republican",15274,7952,"31.53%",0
"Indiana","House",32,2016,NA,"Republican",22112,7417,"49.76%",0
"Indiana","House",33,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",34,2016,NA,"Democrat",12516,6533,"31.41%",0
"Indiana","House",35,2016,NA,"Democrat",15643,14129,"5.09%",0
"Indiana","House",36,2016,NA,"Democrat",14782,10405,"17.38%",0
"Indiana","House",37,2016,NA,"Republican",22403,12592,"28.04%",0
"Indiana","House",38,2016,NA,"Republican",18623,0,"74.71%",6303
"Indiana","House",39,2016,NA,"Republican",23591,12640,"30.23%",0
"Indiana","House",40,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",41,2016,NA,"Republican",18500,5238,"49.52%",3043
"Indiana","House",42,2016,NA,"Republican",14901,11434,"13.16%",0
"Indiana","House",43,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",44,2016,NA,"Republican",17927,8073,"37.9%",0
"Indiana","House",45,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",46,2016,NA,"Republican",17333,9369,"29.83%",0
"Indiana","House",47,2016,NA,"Republican",22240,8059,"46.8%",0
"Indiana","House",48,2016,NA,"Republican",14710,7438,"32.83%",0
"Indiana","House",49,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",50,2016,NA,"Republican",19561,7181,"46.29%",0
"Indiana","House",51,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",52,2016,NA,"Republican",21016,7009,"49.98%",0
"Indiana","House",53,2016,NA,"Republican",19964,6780,"45.9%",1979
"Indiana","House",54,2016,NA,"Republican",17726,0,"72.85%",6606
"Indiana","House",55,2016,NA,"Republican",20302,6295,"52.66%",0
"Indiana","House",56,2016,NA,"Republican",14463,9125,"22.63%",0
"Indiana","House",57,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",58,2016,NA,"Republican",19213,9616,"33.29%",0
"Indiana","House",59,2016,NA,"Republican",16118,10205,"22.46%",0
"Indiana","House",60,2016,NA,"Republican",18885,10882,"26.89%",0
"Indiana","House",61,2016,NA,"Democrat",15608,0,"78.76%",4208
"Indiana","House",62,2016,NA,"Republican",16724,11589,"18.14%",0
"Indiana","House",63,2016,NA,"Republican",19228,7570,"43.5%",0
